"","Date","Site","Plot_code","Tree","Leafcode","Morpho","Family","Genus","Species","Taxon","Percent_C","Percent_N","CN_ratio","d15N","d13C","CN_filename","P_avg","P_std_dev","P_co_var","correction.factor","Percent_P","NP_ratio","Percent_P_corrected","Percent_P_corrected_CV","P_filename","Notes","box_number"
"19",2012,"Man",NA,NA,"x_7_1",NA,NA,NA,NA,NA,50.2478,2.7939,17.9848240810337,-1.40041402816773,-34.1648797607422,"Enquist.812a",0.122522352011181,0.00532308907238215,0.043445860979688,NA,NA,NA,NA,NA,"P_2012CR16",NA,NA
"20",2012,"Man",NA,NA,"x_10_1",NA,NA,NA,NA,NA,46.5638,2.9235,15.9274157687703,-1.52380898952484,-32.7795953369141,"Enquist.812a",0.0840579879230648,0.00631320219968272,0.0751053214057534,NA,NA,NA,NA,NA,"P_2012CR16",NA,NA
"21",2012,"Man",NA,NA,"iii_21_1",NA,NA,NA,NA,NA,40.3822,2.3835,16.9423956366688,-3.52121070861816,-33.7562989807129,"Enquist.812a",0.0713190446493434,0.00307148610613968,0.0430668431025872,NA,NA,NA,NA,NA,"P_2012CR16",NA,NA
"22",2012,"Man",NA,NA,"iv_24_1",NA,NA,NA,NA,NA,33.3707,1.5591,21.4038227182349,-1.40608891963959,-32.468903427124,"Enquist.812a",0.11677613005499,0.00172578378023606,0.0147785662996658,NA,NA,NA,NA,NA,"P_2012CR16",NA,NA
"23",2012,"Man",NA,NA,"iv_5_2",NA,NA,NA,NA,NA,45.4897,2.5729,17.6803218158498,-0.83209487915039,-33.197440032959,"Enquist.812a",0.0741454357785136,0.00537537495328691,0.0724977187988236,NA,NA,NA,NA,NA,"P_2012CR16",NA,NA
"24",2012,"Man",NA,NA,"iv_16_1",NA,NA,NA,NA,NA,43.3011,3.4668,12.4902215299412,0.994184229373932,-34.176501159668,"Enquist.812a",0.152487025184004,0.00841823831107253,0.0552062596861232,NA,NA,NA,NA,NA,"P_2012CR16",NA,NA
"25",2012,"Man",NA,NA,"iv_21_1",NA,NA,NA,NA,NA,36.6331,1.4314,25.5924968562247,1.12862768650055,-32.5814694213867,"Enquist.812a",0.115925369852261,0.0247227537524423,0.21326439401444,NA,NA,NA,NA,NA,"P_2012CR16",NA,NA
"26",2012,"Man",NA,NA,"v_2_1",NA,NA,NA,NA,NA,41.5986,2.5419,16.3651599197451,-2.49163350105286,-32.6862744140625,"Enquist.812a",0.112752455505749,0.00108322118443417,0.00960707400628566,NA,NA,NA,NA,NA,"P_2012CR16",NA,NA
"27",2012,"Man",NA,NA,"v_6_1",NA,NA,NA,NA,NA,40.4898,2.9268,13.8341533415334,0.398886986859143,-31.5581158447266,"Enquist.812a",0.284147231107274,0.00610673791340779,0.0214914566987362,NA,NA,NA,NA,NA,"P_2012CR16",NA,NA
"28",2012,"Man",NA,NA,"v_8_1",NA,NA,NA,NA,NA,48.2718,1.9385,24.9016249677586,-0.025360674858093,-32.6367024230957,"Enquist.812a",0.10445413076423,0.00514871188115899,0.0492916062149853,NA,NA,NA,NA,NA,"P_2012CR16",NA,NA
"29",2012,"Man",NA,NA,"ii_14_1",NA,NA,NA,NA,NA,43.6709,3.1927,13.67836000877,1.32209578514099,-32.9818486022949,"Enquist.812a",0.149994276143847,0.0263755959517176,0.175844016383818,NA,NA,NA,NA,NA,"P_2012CR16",NA,NA
"30",2012,"Man",NA,NA,"ii_17_1",NA,NA,NA,NA,NA,46.0523,2.8674,16.0606472762782,0.063551514148712,-31.4388970184326,"Enquist.812a",0.125071438133804,0.00210578288115745,0.0168366408236598,NA,NA,NA,NA,NA,"P_2012CR16",NA,NA
"31",2012,"Man",NA,NA,"ii_22_1",NA,NA,NA,NA,NA,44.3079,2.6898,16.4725630158376,-1.54976853847504,-34.1047161865234,"Enquist.812a",0.107441041613138,0.00844618643548017,0.07861229106371,NA,NA,NA,NA,NA,"P_2012CR16",NA,NA
